main_class,sub_class,title,body,tag
business,economy,Car registration fee cut by half again,"This is the second time in the last two years such a cut is being made to mitigate the difficulties faced by the auto industry due to the Covid-19 pandemic.In the first six months of last year, 17,600 cars were bought on average each month. In the second half, when the 50 percent cut took effect, sales doubled.The registration fees are calculated based on car prices in each locality.The rates are 12 percent in Hanoi and Hai Phong, and 10 percent in HCMC.Last year, car sales had fallen by 8 percent to 296,634 units as the Covid-19 pandemic badly affected the economy, hitting people’s incomes and discretionary spending.","Vietnam,car,registration fee"
business,economy,"VN-Index surpasses historic 1,500-point milestone","The index stayed in the green throughout the day and closed nearly 12 points higher in its third session in the green. It has gained nearly 36 percent this year.Trading value on the Ho Chi Minh Stock Exchange (HoSE), on which the index is based, fell 11 percent to VND31.8 trillion ($1.4 billion).The VN30 basket, comprising the 30 largest capped stocks, saw 17 tickers in the green, led by PDR of Phat Dat Real Estate Development with a 4.2 percent gain.The ticker is now at the highest in nearly three weeks.SSI of leading brokerage SSI Securities Corporation rose 3.4 percent in its fourth gaining session, reaching a new peak.The ticker has gained nearly 250 percent since the beginning of the year.NVL of real estate developer Novaland Group returned to the top blue chip gainers with a 2.4 percent increase to a three-week high.VCB of state-owned lender Vietcombank rose 2.2 percent. It was the top contributor to VN-Index’s gain this session, pushing it up by 2.2 points.FPT of IT giant FPT Corporation climbed to a new peak with a 2.1 percent gain in its third session in the green.Eleven blue chip tickers fell, with HDB of HDBank losing 3 percent, and SAB of brewer Sabeco falling 1.8 percent.","Vietnam,stock,VN-Index"
business,economy,Stock trading value hits historic peak,"The index stayed in the green mostly throughout the morning, but selling pressure in the afternoon dragged it down 17 points, the largest fall since Sep. 27.Trading value on the Ho Chi Minh Stock Exchange (HoSE), on which the index is based, shot up 28 percent to a new record of VND44.8 trillion ($1.98 billion).The VN30 basket, comprising the 30 largest capped stocks, saw 17 tickers in the red, led by GAS of state-owned Petrovietnam Gas with a 6.9 percent drop.The ticker is now at the lowest since Oct. 1 after plunging since earlier this month.GVR of Vietnam Rubber Group lost 5.4 percent, hitting a four-week low.BVH of insurance company Bao Viet Holdings also fell to a four-week low with a 4.8 percent loss.POW of electricity producer Petrovietnam Power Corporation ended a chain of three gaining sessions with a 4.8 percent fall.HPG of steelmaker Hoa Phat Group dropped to a 12-week low with a 3.9 percent loss. This is its fifth losing session in a row.Eleven blue chip tickers bucked the trend, led by HDB of HDBank with a 5.9 percent gain to a new peak.Other banks to close in the green were ACB of Asia Commercial Bank, up 2.9 percent, and VPB of private lender VPBank, 2.3 percent.Foreign investors were net sellers for the third straight session to the tune of VND805 billion, with strongest pressure on HPG and VPB.The HNX-Index for stocks on the Hanoi Stock Exchange, home to mid and small caps, fell 3.15 percent, while the UPCoM-Index for the Unlisted Public Companies Market lost 0.25 percent.","Vietnam,stock,VN-Index"
business,economy,Trade remedy lawsuits soar as Vietnamese exports rise,"Le Trieu Dung, head of the Trade Remedies Authority of Vietnam under the Ministry of Industry and Trade, said as Vietnam's export turnover continues to grow, more investigations and trade remedies measures were inevitable.Before 2005, there were just 52 trade remedies related lawsuits on Vietnam's exports, but this number has quadrupled to 208 since then, Dung said at a recent conference.The number of lawsuits has been rising, especially as certain countries importing from Vietnam are also importing materials from areas where trade remedies have been imposed, on steel or aluminum, Dung noted.As Vietnam's exports continue to grow, competition intensifies in importing markets, prompting hurt domestic businesses to ask their governments to investigate and apply trade sanctions on Vietnamese goods, he explained.Vietnam has also applied trade sanctions as a way to enable a fair competitive environment and protect customers' rights. The trade ministry has imposed such sanctions in 23 cases, half of them anti-dumping duties, as of November.In 2001, Vietnam's trade turnover reached $30 billion, and this tripled six years later to $100 billion. In 2011, the figure was $200 billion and eventually increased to $517 billion in 2019. This year, it is expected that the trade turnover may reach $600 billion.","Vietnam,Vietnamese,safeguard,trade remedies,economy,trade turnover,exports"
business,economy,Vietnamese workers could stay in Japan indefinitely,"Under the existing program created in 2019 to serve 14 understaffed sectors, including manufacturing and janitorial work, foreign nationals with experience but without special training are permitted to work in Japan for up to five years, and they are not allowed to bring their families, according to .But two sectors with consistent labor shortages, construction and shipbuilding, are allowed to let skilled laborers renew their visas indefinitely and bring their families.Now, Japan will open this more privileged category to the rest of the 14 sectors, effectively eliminating the five-year cap,  stated, citing sources familiar with the matter.Those who have lived in Japan for 10 years will also meet a requirement for obtaining permanent residency, the report added.Asked about the  study, Chief Cabinet Secretary Hirokazu Matsuno told a news conference the government is now ""considering"" the matter, but noted that any change means making renewal of visas possible, but not outright permanent residency,  reported.Japan had 1.72 million foreign workers in October 2020, according to government data.Vietnamese account for the largest foreign worker population there with around 440,000 people, or nearly 26 percent of the total.","Vietnam,workers,Japan,residency,visa"
business,economy,Vietnam should prioritize domestic borrowing over foreign to fund recovery: expert,"To have enough resources to support the economy, the country needs to diversify its methods, mobilizing public money, borrowing from foreign financial institutions and temporarily using unspent investment money and foreign exchange reserves like other countries have done for their economic stimulus program, former acting chairman of the National Financial Supervisory Commission Truong Van Phuoc said.However, at this time, mobilizing domestic resources in both dong and foreign currencies is the optimal solution. ""Issuing domestic bonds will help us repay principal and interest more proactively.""Finance Minister Ho Duc Phoc recently mentioned the possibility of mobilizing VND180 trillion ($7.8 billion) from the public through the issuance of bonds for the economic recovery package.International borrowing creates a long-term obligation to pay interest and principal in foreign currencies, pressurizing the nation’s finances. Part of the current public debt includes foreign loans. If Vietnam issues bonds in the domestic market, it can pay interest and principal in dong.Even with [domestic] bonds in foreign currencies, though interest and principal will be paid in USD, that foreign exchange can return to the banking system or circulate in the national financial system, he explained.Vietnam can mobilize foreign currencies from local people as foreign exchange has accumulated for many years in the Vietnamese economy. Since the 2000s, $3-4 billion in remittances flowed into Vietnam every year, also increasing year after year. Remittances are expected to reach $20 billion this year, Phuoc said.Vietnam is a major destination for foreign direct investment and portfolio investment, and so has a large foreign currency surplus.""I think the amount of idle money in the economy is fairly large. Instead of keeping USD at home or depositing it in banks at zero percent interest, many people will buy government bonds in foreign currencies with an annual interest rate of around 2 percent,"" he said. ""Financial institutions can also consider this because interest rates on loans in USD in the global market are very low now.""Vietnam could use its foreign exchange reserves for economic recovery programs, but it should consider this the last resort, Phuoc noted. The country has nearly $100 billion in foreign exchange reserves.The economy grew by 5.64 percent year-on-year in the first half of the year, but contracted by 6.17 percent in the third quarter as the fourth wave of Covid raged, leading to a growth of 1.42 percent for the first nine months, according to the Ministry of Planning and Investment.The government targets  in 2022 despite the potential challenges posed by the Covid-19 pandemic.","Vietnam,domestic borrowing,fund,recovery"
business,economy,VinFast launches two electric cars in US,"""VinFast believes the future of mobility will be one of smart electric cars that are highly personalized and integrated with technologies that benefit life and our environment,"" said Michael Lohscheller, CEO of VinFast Global.Its two electric SUV models, the VF e35 and VF e36, have advanced driver-assistance systems, lane assist, collision warning, driver monitoring, fully automated parking and vehicle summoning among other features.Both models will be available for pre-order in the first half of 2022, with deliveries planned for the fourth quarter of the same year.This is the first step in VinFast’s strategy to conquer the international market, after expanding to Canada and Europe in the coming months.VinFast, a unit of Vietnam’s conglomerate Vingroup, on Wednesday announced its , California, staffed by 400 employees.The company eyes a  in the next couple of years.","Vietnam,VinFast,auto,US,electric cars,Los Angeles Auto Show 2021"
business,economy,Vietnam tourism recovery requires more action: experts,"The southern resort island of Phu Quoc in Kien Giang Province on Saturday  after Vietnam closed its border to Covid-19 nearly two years ago.""This is the first and most vital step in reviving our tourism sector and prepare for full resumption next year,"" Nguyen Trung Khanh, chairman of the country's tourism administration stated.Other tourism hotspots like the ancient town of Hoi An and central beach city Da Nang have also been welcoming back international tourists.Kien Giang is one of five localities to get the green light from the government to welcome back fully immunized tourists from November onwards along with Quang Nam, Khanh Hoa, Quang Ninh, and Da Nang.Tourism companies are reporting brighter figures after months of nearly zero activity due to the fourth Covid-19 wave, which began at the end of April.Booking platform iVIVu in October saw sales rising to 10 percent of pre-pandemic levels, while Traveloka Vietnam also reported an increase in hotel bookings.Zannier Hotels Bai San Ho, a luxury resort in the central province of Phu Yen, has been offering new promotions to attract customers.""After months of severe business disruption, we are starting to see rays of hope,"" a spokesperson told .Vietnam’s tourism experienced an upward trend before the pandemic, with the number of international visitors reaching a record high of 18 million in 2019, contributing $33 billion to the economy, or 12.5 percent of GDP.But the figure plunged to 3.8 million last year and 125,100 in the first nine months of 2021.The lack of international visitors make it hard for accommodation, transport and food businesses to fully recover, despite a domestic travel push, according to HSBC analysts.Ninety six percent of tourism companies had shut down as of August, according to a survey by  and Private Sector Development Committee.Around two million employees in the service sector were unemployed in the third quarter, with their income dropping 15 percent from the second quarter.Some analysts have affirmed challenges remain.Vu Tuan Hung, deputy director of the Academy of Social Sciences, said in the next three to six months, the tourism sector would still experience low demand as Covid-19 resurgences hit Singapore, the U.S., Russia, and several European countries.This will prompt the Vietnamese government to be more careful in welcoming foreign tourists.On the domestic market, the rising number of Covid-19 cases will limit recovery.""I hope the increasing vaccination rate and medicine development would boost recovery starting 2023.""Some tourism companies are still struggling to forecast future demand.""It is very difficult for us to make a projection as the latest policy updates could cause last-minute changes in demand,"" a spokesperson for Zannier Hotels Bai San Ho said.Several solutions have been proposed to speed up the recovery process.The Private Sector Development Committee has petitioned a loan program for 2022-2023 specifically designed for hotels, airlines and tourism companies. They should also receive wavers in tax and certain fees, it stated.Loans will help companies bounce back after a long time fighting the pandemic as their resources have dwindled, said Nguyen Trung Cong, CEO of iVIVu.Cong added the tourism industry needs to adapt to the new normal, including digitalizing services and focusing on small groups as people refrain from big travel groups.Leaders of Zannier Hotels Bai San Ho proposed more specific guidelines on domestic travel be communicated as people are reluctant to make travel plans due to inconsistencies in implementing policies between localities.Huynh Thi Mai Thy, country market manager for Traveloka Vietnam, said if the reopening of Phu Quoc proves a success, more flights could be scheduled to other locations like Quang Ninh Province, home to popular Ha Long Bay.","Vietnam,tourism,recovery"
business,economy,"VN-Index rebounds, approaching peak","The index stayed mostly in the green throughout the day and closed over nine points higher after dropping 10 points Tuesday.VN-Index is now 0.72 points away from reaching its previous historic peak Monday.Trading value on the Ho Chi Minh Stock Exchange (HoSE), on which the index is based, dropped 25 percent to VND26.07 trillion ($1.15 billion), the lowest in three weeks.The VN30 basket, comprising the 30 largest capped stocks, saw 16 tickers in the green, led by PLX of fuel distributor Petrolimex with a 5.6 percent gain to the highest in three years.SSI of leading brokerage SSI Securities Corporation rose 2.5 percent to a new peak.BID of state-owned lender BIDV gained 1.9 percent to a one-week high.GVR of Vietnam Rubber Group added 1.7 percent after three straight sessions in the red.VIC of biggest private conglomerate Vingroup rose 1.6 percent.The ticker was the biggest contributor to VN-Index’s gain this session after announcing the establishment of a U.S. headquarter for its auto unit VinFast.Foreign investors ended a chain of three net buying session with a net sale of VND213 billion. They focused on selling VPB of private lender VPBank and HPG of steelmaker Hoa Phat Group.The HNX-Index for stocks on the Hanoi Stock Exchange, home to mid and small caps, rose 0.53 percent, while the UPCoM-Index for the Unlisted Public Companies Market gained 0.65 percent.","Vietnam,stock,VN-Index"
business,economy,Gold price gains in eighth session,"Saigon Jewelry Company (SJC) sold its gold at VND62.15 million ($2,727.65) per tael in the morning, up 0.57 percent from Tuesday afternoon. A tael equals 37.5 grams or 1.2 ounces.This means gold prices are 0.24 percent away from the previous historic peak last year.Since early November, gold has gained 6.6 percent.Vietnam’s gold is now VND11.25 million more expensive than global rates.Globally, spot gold rose 0.2 percent to $1,854.39 per ounce Wednesday, a marginal gain as a jump in U.S. retail sales kept the dollar close to a 16-month high.U.S. retail sales jumped in October, topping expectations, in an indication that high inflation was not yet dampening spending, even as worries about the rising cost of living sent consumer sentiment tumbling to a 10-year low in early November,  reported.","Vietnam,gold,price"
